,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,Pacific island small states,Post-demographic dividend,French Polynesia,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),World,Kosovo
0,1960,,18478095142,537777811,10411646287,,,,,,,,,18606562977,6592693841,,195999990,11658722591,226195578,330442816,4274894083,,,169803922,,,28072478,84466653,373250000,,,,,30411414,112155598,40461721693,,,4110000000,59716249311,546203558,614206068,,131731863,4031152977,,,507513830,1880323270,,,,,,,,,,672399700,2723615451,81012790664,136037236022,154531117499,,,2069464937,,245575034484,,,,,,5224102196,112328422,62225478001,,141468978,,1223943662,,,,,4335186017,,,1043599900,,170216241,1320796652,335650000,15152664082,,273187200,,322368517173,359232500370,36335206183,12062060259,,25771325626,,37029883876,1939329775,4199134390,1683918766,248434097,2598500000,40385288344,699064380,,44307342950,,791265459,,637142866,,3958811881,,,,,334788507531,228240330055,,325105674244,,583846188345,1073493800834,,18443988246,,1046741634199,,47147779567,,28338509355,28349301535,,35076846,313582728,80911608954,,,,47147779567,28349301535,1381135479871,
1,1961,,19366314294,548888896,11135924728,,,,,,,,,19682883149,7311749633,,202999992,12400145222,235668221,350247234,4817580375,,,190098039,,,29965000,89249985,406000000,,,,,32902613,123134583,40934952064,,,4829238095,50056685957,618245635,652777608,,151675739,4540447761,,,490325182,2038320110,,,,,,,,,,654100200,2434747056,71458883065,144519229589,155127329777,,,1753850955,,269780402441,,,,,,5921659485,116987785,67461644222,,167637907,,1309859155,,,,,4961400439,,,1076699900,,185849535,1383681651,356200000,16021940791,,271066000,,317696787510,358391115918,38920664574,12908490535,,27620719423,,39232435784,2088012282,4426949095,1831479827,253885656,3138500000,44842760293,748043501,,53508617739,,792959473,,642857134,,2417628737,,,,,331008086743,208214091430,,320673160746,,604324202049,1136693306880,,19533547184,,1106728704068,,50307314799,,29950396735,29960492453,,43026043,333975336,71369633801,,,,50307314799,29960492453,1446355951851,
2,1962,,20506467178,546666678,11951712282,,,,,,,,,19922563188,7756110210,,213500006,13264015675,236434954,379567099,5081413542,,,212254902,,,31857592,94149984,443916667,,,,,35644957,124482774,42227447632,,,5631285444,47209186415,645284475,694247864,,166521240,4955538219,,,479180824,2153914776,,,,,,,,,,824100000,2001444544,65257525577,148511640353,158343678298,,,1518207704,,299724752489,,,,,,6340580854,122906435,75607529810,,182796536,,1390140845,,,,9122751,5213047711,,,1143600000,,194949513,1612346412,387750000,16845051102,,281896800,,322205643059,365922240335,41208521043,13804264744,,29065395253,,42161481858,2260349684,4693566416,1954399498,284916516,2510000000,50383891899,777727689,,60723018684,,868111401,,660000009,,2814615385,,,,,335323505620,207599833191,,324168102362,,647421597616,1226937167069,,20834497522,,1194982342937,,53695416446,,31892681912,31903784358,,45927962,357635713,65176021559,,,,53695416446,31903784358,1546369168289,
3,1963,,22242734491,751111191,12685805890,,,,,,,,,21539843446,8374175258,,232749998,14260017387,253927697,394040667,5319458562,,,237745098,,,33750114,96366651,478000000,,,,,38091843,129379124,45029988561,,,5591307028,50706614526,761047199,718320845,,172233431,4836166667,,,511902137,2290333704,,,,,,,,,,940799900,2702982018,70599611075,166775260632,176591740764,,,1824343870,,336358141578,,,,,,6885920329,129454729,84759195106,,154480244,,1549295775,,,,10840095,5895278024,,,1262800000,,175757894,1935298266,410200000,18113653277,,294883400,,355289052661,400480300137,43299968848,14609998946,,30403212288,,48421923459,2430843768,4928628018,1978199489,340061650,2992333333,57710743060,826706669,,69498131797,,926589349,,728571437,,3988461538,,,,,368807831018,220125404426,,356741453797,,683726355212,1322131904576,,22102222965,,1287212060587,,60396894530,,34281348389,34293676625,,54129438,371767002,70511435007,,,,60396894530,34293676625,1670666024903,
4,1964,,24294329780,800000044,13848998669,,,,,,,,,23801123808,9169983886,,260750008,15960106681,269819006,410321645,5386054833,,,266666667,,,36194586,107566649,538583333,,,,,41616348,142025079,49377522897,,,5964195925,59708125204,921063326,776650177,,185693725,5973366667,,,542578367,2470286396,,,,,,,,,,1025599900,2909316435,81488124865,185276934941,202562423066,,,2244146103,,374154739326,,,,,,7766655086,140032741,94007851047,,215679855,,1740845070,,,,12712471,6669673257,,,1299099900,,194774513,2206466461,457000000,19786049553,,325281200,,403092988662,450427551845,46330896492,15943425915,,32125445431,,56480289941,2766608946,5379845648,2340239344,434267937,3405333333,63175417019,897949001,,81749006382,,998759334,,782857129,,3459019943,,,,,419825224317,254422246968,,407002850853,,735285089545,1445096831240,,24151909680,,1404371222750,,69145880250,,37435388432,37449073939,,64980554,392247518,81386349483,,,,69145880250,37449073939,1832615520368,
5,1965,,26619560807,1006666638,14874755834,,,,,,,,,25976164156,9994070616,,158994963,17371457608,289908680,422916790,5906636792,,,300392157,,,40110040,114339050,598333333,,,114039501,,45788696,150574795,54515179581,,,6108679126,70436008642,919771228,814083266,,198318064,5760761905,,,592981162,2661011040,,,,,,,,,,888100000,3136284307,94903578451,199046271839,225488669971,,,2387047396,4948667540,408976374350,,,,,,8589340019,147084750,101537248148,57954522,226474286,,2064788732,,,,64748333,7689154053,,,1331399900,,213235294,2435078534,508650000,21936940149,,353251800,,441790286680,494225443097,51170068157,17311888392,,35868600073,,59554854576,2945704143,6197319929,,523694949,3663333333,67978153851,972159611,599759760,90950278258,,997919321,,868571429,,3120861499,2097199161,,,,463017763178,289200342493,,449100685221,23870832123,798329518631,1568558028053,,26109276424,,1525817187832,176534588,74260412305,877720000,40683899240,40697444106,,70279972,416926303,94785047708,,,23672607232,74260412305,40697444106,1994519203523,
6,1966,,28732792825,1399999967,15845575303,,,,,,,,,27307844369,10887682273,,165444571,18651883472,302925235,433889766,6439687854,,,340000000,,,44450044,134173375,662500000,,,132757528,,51465655,157930018,61088384037,,,7162633082,76720005492,1024102882,851112535,,220613582,5428518519,,,647305630,2888720384,,,,,,,,,11931739859,983900000,3039859187,103790138430,194538356325,251973597081,,738130953213,2429308639,5278005612,446231131339,,,,,,9208524505,150603926,110045852178,64397131,245849781,,2138028169,,44212081,,69110000,8591517944,,,1390700000,,228705882,2489845017,549950000,23724564498,,368948600,,446545376934,504433981816,55257958919,18831144036,,38556110752,,45865462034,3104034393,6789938672,,628893310,3980000000,73654870011,1096759561,657999737,105628070343,,1164519674,,914285714,,3929055144,2391199044,,,,470788138850,313491320968,,455768780939,24881410229,876222557412,1721564335989,,28560474639,,1673612181151,215659454,62444760598,929520000,43678711712,43692889579,,76859969,432794922,103660508732,,,24674793433,62444760598,43692889579,2161644938245,
7,1967,,31592963095,1673333418,14428492962,,,,,,,,,30442724871,11579431669,,178297143,19992040788,306221953,450753924,7253575688,,,390196078,,,47431256,155102980,748250000,,,139029537,,58642354,163820514,65668655501,,,7057478295,72881364882,1082922726,936175260,,237397428,5825170438,,,699456619,3102560431,,,,,,,,,13059064375,1034800000,3370870376,100856102486,211738371298,273161617537,,794915876429,2553595172,5605484299,484883784440,,,,,,9368954010,162625886,118972977486,66225404,271543680,,1748837209,,46695007,,72317447,9275600800,,,1453500000,,250176471,2692474989,598100000,24575642157,,369124200,,464147516106,524205869447,57355088093,18927886746,5667756628,40825259867,,50134942204,3343636773,7555383690,,621225962,4030000000,81133120065,1148014311,631679747,123781880218,,1232559507,,962857134,,4855892446,2441599023,,,,490025918155,307948783972,,473852152042,26936465307,927523758481,1848030179343,,28147580848,,1796591761675,220984368,68699960051,976200000,44666366525,44680649550,,74759970,449826323,100730137280,,,26712783206,68699960051,44680649550,2308597009339,
8,1968,,34216506004,1373333367,14880501861,,,,35102917960,,,,,32714085234,12440625313,,183200000,21376353113,326323105,460442689,7483685771,,,444901961,,,44999910,150000000,849333333,,,160818236,,66248441,191767442,71829810520,,,7192102967,70846276051,1281281278,1046191218,,251247458,5960212869,,,773841494,3083640786,,,,,,,,,13505573867,1079100000,3852147027,102059353351,230290144068,301107124936,,831525946548,2582179864,5932242991,520564671447,,,,,44702995409,8823033880,166952937,129785441507,65186667,294468564,,1666666667,,41160066,,67514286,10090675903,,,1610500000,,229750000,2716964388,646800000,25604378671,,367968800,,488259685156,550681495835,59780563021,19979704286,7076465300,42227317885,,53085455871,3278584478,8623172960,2896598841,474399472,4619000000,87942231678,1083839133,561119776,146601072686,,1353295459,,1065714249,,6119394892,2662798935,,,,514848219371,307287943448,44926460299,498478448025,29634802925,1014479810520,2004624217663,,29249077894,,1948722162365,259590075,72004816965,1009760100,47529437277,47542735723,,79799968,453980096,101931885333,,,29388713658,72004816965,47542735723,2491804907882,
9,1969,,38498685902,1408888922,16882284662,,,,38249920379,,,,,36683365869,13582798556,,190205714,23710735895,330748245,478298645,8471006438,,,528137255,,,47399905,164900000,920333333,,,161210236,,77361547,188039210,79148411662,,,8359596194,79705614855,1361360292,1100551489,,265040036,6450175214,,,853630204,3359757126,,,,,,,,,15414902267,1230500000,4257253264,114537042436,254979072047,346736994548,,919719196407,3112165727,6524455206,581088775537,,,,,48810492502,10070766721,182182068,141903068680,70106667,318124701,,1961764706,,45168072,,67225714,11615657031,,,1715399900,,249300000,3189740055,668000050,27540605696,,391820400,,543141228551,612292415498,66287957708,22857671325,8337423313,45916675944,,58447995017,3787077344,9743089607,3007758797,414709311,5329333333,97085082807,1191239047,698879720,172204199481,,1458379417,,978873232,,7678698838,2769198892,,,,573068796269,344335059161,49719425358,555484655217,32879112734,1099213311662,2205073735188,,32413291916,,2142707737632,242943783,79157009447,1049400000,53638240891,53651273745,,105419958,471635622,114393990288,,,32606082514,79157009447,53651273745,2745215843083,
10,1970,,41938907716,1748886596,23504960312,,,78617711,43245967541,,,,,41333606613,15373005557,,242732571,26706196047,333627713,458404269,8992722167,,,538423154,,,53339893,186300000,1006833333,,,179078929,,96243234,189106529,88192257632,,,9144112431,92602634892,1455482795,1151216993,,274960700,7198360460,,,984830158,3695313511,5693005200,,,,,215838448138,,,17075457600,1485500000,4863526897,127160158110,271582625956,413453241727,,1018620304076,2862503139,8042200452,644565892248,,,,725882347880,61465995003,11357516988,219878482,148456359986,84933333,323802476,,2214705882,,52296084,78733595,66331429,13139863636,,69520027,1904000000,,267800000,3800766536,723000000,29377450920,,331200000,,591904051733,675447930893,78290322738,31420461401,9150684932,48516441044,,62422483055,4395995086,10976245154,3281318687,526704545,,113395315985,1404720442,639519744,217223652719,,1603447359,,718401158,14295280,9005144969,2873638851,,,,632142542258,391863938744,56209824352,613167104980,37135228292,1161681557632,2409793706645,3136923992,41285104881,,2345373966421,254036001,85695623709,1132920000,64245417754,64259538042,7870678391,112139955,469266737,127001340199,,,36826855022,85695623709,64259538042,3009970148766,
11,1971,,45920167032,1831108971,20843326171,,,89406608,49980195755,,,,,45216647235,17858486067,,252842286,29821661870,335073028,482411179,8751843188,,,573400000,,,59074687,211100000,1084666667,,,197525768,,127448614,201450800,99606454744,,,10876091408,99800593791,1584128511,1236941394,,322128019,7820380971,,,1077147538,4017459620,6914658400,,,,,249985055484,,,19085731252,1666500000,5077183094,136759553356,293755085805,458922270374,,1147625624148,2754219271,8609283346,730558217756,,,,820757859994,61399014250,12527405513,247749328,165966615366,99219083,381687073,,2427184466,,55728663,78540057,64946955,14591750000,,88466738,1984800000,,282050000,4476001946,731000000,31104926325,,362800000,,641734200043,722469583982,77613970750,29181222031,9333536370,50631935423,,67351404352,5098250287,13731802833,3865346535,670251136,,124672365793,1539861816,678159729,245364056622,,1778391289,,969911421,15278632,9903571249,3880392195,,,,673625035179,430754643822,66524974899,652979356450,42573853380,1264667554744,2667865777737,3723946506,39200444663,437447621,2600499560694,296865514,91151981090,1186120000,64767693274,64785881865,8854610885,136462081,501866730,136588746188,,,42220317425,91151981090,64785881865,3323043011475,
12,1972,,49440744172,1595555476,25269456359,,,113414397,59593479017,,,,,52040887850,22059612477,,246804571,37209418019,410331857,578595522,6288245867,,,590900000,,,65998069,235400000,1286153846,,,270822782,,164460915,230317883,113463848874,,,11833904488,113689308020,1849400398,1498251890,,410669264,8671358733,,,1238251696,4639336765,8135150892,,,,,299801542047,,,23232379952,1987400000,6766743957,155097596859,323444302441,569888244633,,1375499419931,3185986087,9299638056,882533204602,,,,990362172790,70634250873,14743186120,316656649,203494148244,119335898,430508359,,2116541353,,59160569,87702829,65429198,16885511364,,106101298,2101300000,,285380952,5710090213,802996337,33778914293,,371998972,,721889665838,803649615554,80623120328,32766077738,10997590361,49439209546,,71463193831,6318060582,17153463263,4113848002,839652164,,145260039841,1875146587,788479685,324933841269,,2107279157,,505549441,18936527,10862211761,4450537925,,,,752774508802,488800984785,80586649211,730449454990,50799908523,1392809248874,3095864028574,4507178166,46020262918,525633065,3017533340765,326433558,91635981395,1263720000,72947119235,72974503608,10432558017,146736479,585427547,154903886214,,,50378062888,91635981395,72974503608,3835299184391,
13,1973,,64933825429,1733333264,31841146882,,,150841639,75614829099,,,,,63830877643,29515467707,,304339840,47743801490,504376074,674773570,8086725729,,,670900000,,,78214768,269500000,1263600000,,,433095527,,244124164,271183082,131764343566,,,16826390944,138543170458,2508421426,1901393361,,541973363,10315760000,,,1528925846,5076146309,9987709650,,,,,398374021954,,,30730626663,2344800000,8707858912,195161241018,405416698141,751253809753,,1747095591251,3891754150,10098534613,1145698760372,,,,1281934381027,86153958082,19472363467,425950488,264429876252,161236466,722780701,,3018103448,,75187749,89374237,81203227,22347848101,,140153748,2569200100,,307047619,8030117556,912499494,41314823603,,466798975,,909459634653,1000121890284,92464662764,34955385153,16273253012,60074696046,,85515269585,7481173066,27081698250,5134367778,1154440253,,175492055795,1905917553,943783840,441460582536,,2509001324,,702899156,31710658,13876472208,5408804607,,,,932031459359,608091981823,109127661981,906065477332,67434903546,1557409843566,3741416810232,6530337347,56501949142,716679317,3644287250748,431252938,104761572323,1442320000,94275716981,94307943279,13001262270,221915128,647199483,194917492497,,,66874919867,104761572323,94307943279,4655916456683,
14,1974,,79888146173,2155555498,44215328356,,,186557082,143722246048,,,,,88963890936,35189299912,,345263492,56033077879,554654861,751133430,12512460520,,,632400000,,,103160450,312600000,2101300000,,311809337,1073591624,,306044208,281398706,160949188139,,,16209693232,144188970821,3070152314,2157415533,,585364634,12370029584,,,1666544754,6595573433,11405957317,,,,,445303484242,,,34160444798,2925700000,13209871626,220956027398,568522750972,865270508011,,1973567780631,6599257044,9228963225,1299297401470,,,,1451653955756,131587080079,24848821490,558587097,285553737043,196771071,1544216002,,2894409938,,95796022,98775329,94159863,25351306818,,169918949,3161499900,,433954545,9388695367,1034500000,48533151935,,565399297,,1125975805749,1251783764544,124485069784,50389609913,25802409639,76596325243,,99525899116,7896860615,46209092072,11516762614,1515190595,,199564489431,2375122375,1197483949,490035789970,,2969958812,,588443894,85637174,19543973941,13006948296,,,,1165896644821,685078858341,203802641734,1133389531667,102798505814,1706504788139,4191601450742,12039013477,81674564510,1018241259,4069883782596,555340843,126910557743,1665880000,121733412124,121769757992,20196388659,264320941,652532795,220680062229,,,101944860558,126910557743,121769757992,5333766079847,
15,1975,,84955085379,2366666616,51445309626,,,220112572,158820613451,,,,,97303017889,40059206763,,420986667,65678189097,676870140,939972703,19448348073,,,596200000,,,118194026,345000000,2405900000,,402178605,1168304306,,355168572,378660016,174419757177,,,7621570062,163429530660,3893839184,2857037371,,767102680,13098633902,,,1960863466,7706924933,13027415244,,,489914761,,490636517211,,,40474406216,3599200000,15557902754,247986366609,639682910662,946981108643,,2307486263780,7731674472,11632178869,1506551041978,,,,1690761494479,147968477635,29472623242,684282434,360832186018,227404436,2157592940,,2810106383,,115179719,108985740,104295643,28525876727,,211190630,3645900000,,494791667,10048089558,1124000000,56702425640,,681400000,,1242410971587,1398158025915,149914725885,57963377028,30463855422,95780298562,,98472796457,9483808362,51776222350,13458516763,1406875081,,227695851127,2860442750,1363073498,532861438885,,3259345083,,,55083908,21784297521,12022811621,,,,1324549346836,731182805130,225344230667,1284612168199,119615493437,1859668757177,4699459950496,13438720823,94230613401,1137316407,4559830057134,690323389,135841794095,1884120100,134494154752,134534482395,22991435433,288299789,864602105,247676641635,,,118622198859,135841794095,134534482395,5965065154144,
