,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,French Polynesia,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
0,1960,64.152,44.0855518454965,32.535,37.8451516181524,38.211,54.439,44.9728986516699,63.978,61.431,61.55,70.8170731707317,68.5856097560976,55.837,43.024,69.7019512195122,38.181,35.872,44.74,69.2475609756098,50.33,62.896,61.037,69.2546097560976,58.163,67.162,43.1,52.66,64.564,56.793,33.465,50.372,39.236,71.1331707317073,67.9339519629045,71.47,57.015,33.275,38.108,34.819,40.857,47.979,57.13,39.694,49.411,60.415,61.829493973711,64.173,65.7780243902439,,64.187,70.3487804878049,69.0640731707317,43.429,59.026,72.1765853658537,50.264,40.532,37.7540701310687,46.8792437300227,41.638256581189,64.4397465181365,67.4785719106391,53.364,45.373,69.2258617691676,37.5,68.933512195122,40.33,69.0376063612116,46.2252043264952,68.819756097561,57.588,69.8682926829268,,46.575,61.222,47.096,69.309,36.547,35.098,37.464,41.729,69.3,60.76,,45.808,60.897,58.034,65.8662926829268,48.317,40.7432026829806,65.4823658536585,43.499,68.0031707317073,45.8315473913406,45.3201201687757,42.8459198692258,43.1313289141886,46.452,42.7201800464958,64.409,45.218,70.1942682926829,43.957,52.618,73.7620487804878,,69.1239024390244,64.042,52.617,67.6956097560976,58.370512195122,48.68,,42.361,47.873,54.320243902439,56.919,54.4949359735257,55.1538790352586,41.2285136154435,44.7907927789383,43.8342249301355,44.7575728227675,45.0295181590185,44.6211493380158,69.8929953078739,67.3062200884689,51.931331934281,39.8560673553553,54.05,54.5350213058718,68.8656660173571,59.675,45.1023665758608,48.084,41.4225457764481,41.4225457764481,55.0452721544717,45.813,38.374,37.5395084679193,64.8506329147059,54.6593273046278,44.6211493380158,45.1023665758608,41.4225457764481,59.564,50.8941796871232,61.485
1,1961,64.537,44.386696928982,33.068,38.1649497795417,37.267,55.634,45.6764014974966,64.36,61.803,62.363,70.9731707317073,69.5773170731707,56.192,43.252,70.5209756097561,38.542,36.24,45.662,70.1956097560976,52.112,63.185,61.856,69.7383902439024,53.356,64.111,43.4,53.183,65.318,57.817,33.946,50.891,39.737,71.3460975609756,68.2359322349445,69.747,57.537,40.468,38.744,35.406,40.239,48.697,57.73,40.147,49.953,60.901,62.0686652717646,64.512,65.9092926829268,,64.804,70.5126829268293,69.6448780487805,43.721,59.949,72.4382926829268,50.84,40.516,43.3587060486227,47.3655201006931,46.5770199703542,64.6899114053091,67.7510465102691,53.895,46.024,69.659185211299,37.974,68.9621219512195,40.995,69.4373542996767,46.5393849042171,68.8441463414634,58.199,70.1170731707317,,47.228,61.416,47.325,69.234,36.75,35.568,37.695,41.994,70.3158536585366,61.792,,46.47,61.395,58.46,66.5588780487805,48.73,41.0716719702749,66.1803414634146,43.914,68.9360975609756,48.6696495006408,47.7499304790542,43.3594974729906,43.7391274240134,47.117,43.1923421177819,63.629,45.398,69.6782926829268,44.55,53.411,73.5034146341464,72.0065853658537,69.760243902439,64.394,53.671,68.3519512195122,58.5030731707317,49.533,,42.792,48.381,54.924,58.015,55.045468350907,55.69794806684,41.6583177753994,47.2764667297196,48.5157136765973,46.0108571796703,47.6567036574221,45.3369402347223,70.3666080570542,67.7309349275703,52.331211949067,40.1418290842267,54.496,55.1414551421039,69.2741269732795,59.996,45.4186488387794,48.849,41.7397393580756,41.7397393580756,55.4122299947052,46.191,38.631,43.2086671925563,65.0762157670695,55.2174275813505,45.3369402347223,45.4186488387793,41.7397393580756,60.219,52.8463364252688,61.836
2,1962,64.752,44.7521818697994,33.547,38.7351018609467,37.539,56.671,46.1225758452874,64.244,62.125,63.192,70.9424390243903,69.309512195122,56.516,43.441,70.219512195122,38.928,36.665,46.701,69.4919512195122,53.697,63.433,62.511,69.4623170731708,59.0,63.837,43.791,53.71,65.897,57.667,34.469,51.389,40.256,71.3670731707317,67.6901619835113,72.043,57.771,50.818,39.402,42.516,40.342,49.499,58.301,40.58,50.392,61.111,62.601166766596,65.038,66.1990243902439,,65.424,69.7868292682927,69.7992195121951,44.088,61.741,72.319756097561,51.411,39.323,51.1277785886162,47.7895519359471,53.2866105759643,64.5794961182973,67.6247743769465,54.401,46.843,69.624885320746,38.393,68.7918048780488,41.403,69.281273112039,46.8826166340919,68.5778048780488,58.934,70.3146341463415,,47.838,61.858,47.405,69.481,36.913,35.989,37.932,42.258,70.2549756097561,62.877,,46.995,61.708,58.864,66.9771707317073,49.668,41.6223766531233,66.4691463414634,44.291,67.8658536585366,52.359673411617,50.8938978007031,43.9469832059661,44.5341367924952,47.871,43.6886190240465,64.293,45.659,69.9910487804878,44.269,54.326,73.7219512195122,72.1121951219512,69.149756097561,64.491,54.658,68.6348780487805,58.621756097561,50.224,,43.316,48.96,55.519512195122,59.079,55.5265910226424,56.1452987193846,42.1580823944676,50.5115867284612,54.7877170601007,46.3215425005971,51.0828228480559,45.6107311553724,70.231254355798,67.7472269233263,52.7058596024497,40.6531909281594,54.999,55.8319185685712,69.2387006805094,60.271,45.8023404483615,49.6,42.2007205755248,42.2007205755248,55.8487842036201,46.614,38.835,51.07517555209,64.9161967227738,55.670493360257,45.6107311553724,45.8023404483615,42.2007205755248,61.601,55.2086838620139,62.134
3,1963,65.132,44.9131593023895,34.016,39.0637152759625,37.824,57.844,46.9724717064668,64.449,62.223,64.101,70.9117073170732,69.4436585365854,56.898,43.718,70.0514634146342,39.334,36.974,46.655,70.3092682926829,55.285,63.732,63.274,69.7097804878049,59.569,63.778,44.077,54.209,66.487,59.779,35.029,51.881,40.781,71.3807317073171,68.6740026282383,70.305,57.15,51.408,39.955,42.918,40.604,50.118,58.892,40.926,50.894,61.624,63.1671602275121,64.94,66.4743170731708,,62.282,70.3043902439025,69.9140731707317,44.414,58.688,72.4004878048781,51.799,42.908,51.6309614318725,48.1878701926884,53.8164211469489,65.0195069772591,67.9590767829454,54.88,47.672,69.7874216499038,38.774,69.2101219512195,41.956,69.6412704704521,47.1847763752501,69.0126829268293,59.552,70.5146341463415,,48.479,62.228,47.578,69.257,37.164,36.496,35.661,42.546,70.6105365853659,64.077,,47.407,62.359,59.202,67.6857317073171,50.25,41.7639340063819,66.8558048780488,42.769,68.8741463414634,52.8328852706267,51.3376004728184,44.2638900540871,45.219446021443,48.429,43.8435039630488,63.522,45.936,70.2300975609756,45.619,54.948,73.0429268292683,,69.2480487804878,65.27,55.575,69.7124390243902,58.944512195122,50.808,,43.898,49.624,55.9748780487805,60.162,55.9896412876489,56.5653370372813,42.2815424957511,50.9450521812511,55.2682309474305,46.9078689647552,51.5344275273553,46.7715949538392,70.0489507157528,67.9655134199818,52.7261686841349,40.9380643385469,55.56,56.4518152430134,69.4413611052855,60.527,46.1149251854662,50.253,42.4406202612887,42.4406202612887,56.0640628517442,46.854,39.072,51.5776454305369,65.4833019395912,56.1136801397737,46.7715949538392,46.1149251854662,42.4406202612887,63.533,55.542340605221,62.44
4,1964,65.294,45.4790430350926,34.494,39.3353602545353,38.131,58.983,47.8957584564187,64.363,62.418,65.058,70.8809756097561,69.9219512195122,57.196,43.974,70.7551219512195,39.758,37.251,47.741,71.1212195121951,56.778,64.05,63.948,70.619243902439,60.057,67.641,44.366,54.648,67.02,60.582,35.618,52.349,41.345,71.7763414634146,69.1702269896561,72.476,58.738,52.156,40.606,43.31,40.052,50.696,59.375,41.25,51.345,62.083,63.592163997326,65.905,66.6675853658537,,62.79,70.459512195122,70.4355609756098,44.667,64.493,72.4851219512195,52.542,42.788,52.359259125247,48.6706985975377,54.50712280855,65.5110774401876,68.4809460659443,55.305,48.47,70.3413486261844,39.24,70.0573170731707,42.275,70.1609188571848,47.6973739007615,69.2209756097561,60.219,70.6634146341463,,49.048,62.333,47.719,70.168,37.341,36.948,35.984,42.749,70.5693902439025,64.841,,47.712,62.878,59.494,68.4460975609756,50.812,42.2530557750103,67.2923170731707,44.968,69.3809756097561,53.354844332211,51.8804994238628,44.924641244422,45.8171124306022,49.232,44.5320663650679,64.838,46.184,70.4899268292683,46.196,55.633,73.5417073170732,,70.3117073170732,65.622,56.559,70.2065853658537,59.1574878048781,51.328,,44.398,50.323,57.1747804878049,61.158,56.4710347773635,57.0733658816551,43.0082730267692,51.4936680832184,55.9106696521436,47.5855612595477,52.0766759261782,47.4438758060252,70.3125865277974,68.4304355469184,53.2535881089445,41.3803005726176,56.157,56.6611396897284,69.9256861625638,60.781,46.5055915876976,50.734,42.8908377269423,42.8908377269423,56.5360126528354,47.335,39.333,52.3076999086209,65.9662965910657,56.612890850558,47.4438758060252,46.5055915876976,42.8908377269423,64.647,56.0348753375692,62.734
5,1965,65.502,45.4983377851245,34.953,39.6180376955522,38.495,60.019,48.2321074069176,64.593,62.754,66.026,70.850243902439,69.7221951219512,57.619,42.005,70.6253658536586,40.184,37.691,46.858,71.2939024390244,58.228,64.362,64.555,70.5974878048781,60.629,67.848,44.712,55.084,67.376,61.193,36.24,52.809,41.929,71.8721951219512,69.3234595907427,72.031,59.455,52.912,41.177,43.889,40.704,51.2,59.815,41.7,51.808,62.663,63.9101565214648,66.318,66.9062195121951,,67.052,70.1631707317073,70.4103658536585,45.088,64.587,72.3707317073171,50.864,42.714,52.2876255150886,47.6796696595786,54.4690551951289,65.3450382865541,68.4657832438817,55.664,49.128,70.4212485693473,39.554,69.6807317073171,42.444,70.270865130013,47.8052087938527,68.9778048780488,60.805,70.8121951219512,,49.752,62.852,47.778,70.608,37.599,37.445,36.383,43.054,71.4283170731707,64.728,,47.814,62.893,59.742,69.2512195121951,51.465,42.4013985665175,67.8325609756098,45.351,69.0712195121951,53.0622836932015,51.668051117857,45.1118263074846,46.3788427516835,42.599,44.5545383771506,64.978,44.98,70.695,46.744,56.616,73.8687804878049,,70.1717073170732,65.972,57.415,70.2668292682927,59.4616829268293,51.7,,44.789,51.038,58.2404878048781,62.219,56.855169188065,57.4708383402292,42.9790112702398,51.2710178821212,56.3929552906551,48.1975181930748,51.8363625729578,48.0462986328895,70.3664761754079,68.564902764983,53.8440778487025,41.5416326739901,56.827,57.7064795323274,69.9954268354325,61.045,45.5817101243127,50.897,43.0294512913119,43.0294512913119,57.0739844174936,47.907,39.12,52.2259776309529,65.9001558858699,57.0150015698179,48.0462986328895,45.5817101243127,43.0294512913119,65.238,55.8606333052899,63.041
6,1966,66.063,45.249104629175,35.453,39.8378269884933,38.757,60.998,48.4570727765873,64.891,62.945,66.956,70.819512195122,70.0458536585366,57.672,43.531,70.7063414634146,40.648,37.916,48.577,71.2234146341464,59.656,64.659,65.171,70.7689268292683,60.963,63.426,45.118,55.473,67.805,61.963,36.901,53.264,42.531,72.0043902439024,69.8234553673133,72.366,59.689,53.637,41.819,44.436,42.053,51.774,60.204,42.147,52.356,63.367,64.2182657850985,66.715,67.1986097560976,,67.495,70.3848780487805,70.5215853658537,45.474,63.49,72.4441463414634,53.666,42.543,53.4626550121212,48.6699929927922,55.5440127654411,65.4202936329992,68.6531296067362,55.942,49.504,70.6685345330742,39.882,69.627756097561,40.15,70.5823518608765,47.7756600182032,69.4770731707317,61.154,70.9609756097561,,50.349,63.075,47.727,69.594,37.84,37.898,36.698,43.264,71.7527073170732,64.655,,47.764,62.778,59.937,69.5388780487805,52.091,42.3348677233006,68.1214390243903,45.594,69.8224390243902,53.7530935455068,52.3195303502493,45.5963138307637,47.0872163202978,48.2,44.9404377678107,65.273,45.333,70.2169512195122,47.421,57.348,73.3004878048781,72.2856097560976,70.9260975609756,66.355,57.869,70.9158536585366,59.6992195121951,52.097,,45.363,51.779,59.5047073170732,63.075,57.2841050145037,57.8861181105356,43.3622872671356,51.9308545760132,56.9036366701724,49.2249659382363,52.550876768408,48.5578196577974,70.3764340035747,68.8218570463035,54.148167566986,41.7759679207771,57.598,58.1789062564862,70.2188025105146,61.334,46.1519470409495,50.964,42.9840900521411,42.9840900521411,57.3883463402925,48.56,39.15,53.4065830666738,66.0703914197773,57.4371121914369,48.5578196577974,46.1519470409495,42.9840900521411,65.333,56.3897434722829,63.323
7,1967,66.439,45.9249050028634,35.924,39.4715000612072,39.092,61.972,48.9129111912359,64.992,63.213,67.859,70.8692682926829,69.9178048780488,57.973,43.341,71.0129268292683,41.055,38.294,48.865,70.4139024390244,61.002,64.948,65.553,70.9297804878049,61.5,68.358,45.419,55.868,67.944,62.511,37.584,53.721,43.158,72.2078048780488,69.3242744755165,73.235,60.72,54.351,42.419,45.176,42.31,52.101,60.531,42.754,52.722,63.921,64.4715914762074,67.11,67.4914878048781,,67.917,70.2641463414634,70.7317317073171,45.907,65.005,72.9221951219512,54.289,42.568,54.3375671084418,49.3513417355876,56.3700810539931,65.3129393475912,68.6631308980436,56.213,49.538,70.8521971679694,40.09,69.9401463414634,42.692,70.5898441975846,48.0138422852996,69.6665853658537,61.576,71.1609756097561,,50.892,63.292,47.683,70.983,38.123,38.43,37.024,43.532,71.2987804878049,64.654,,47.984,63.566,60.113,69.9254390243902,52.632,42.9765793707825,68.2989512195122,46.125,69.4070731707317,54.2416531611526,52.7936052207355,46.0263630019086,47.1879814692894,51.066,45.5154238688184,65.968,45.674,71.2453658536585,48.034,58.37,73.7831707317073,71.509756097561,70.9565853658537,66.442,59.01,71.4660975609756,59.8734146341464,52.455,,45.514,52.524,61.2881219512195,63.986,57.6489463412503,58.2729562292188,43.9614046289789,52.4342221298145,57.3231294184675,49.699264935943,53.038598307374,49.028916251094,70.7138232038936,69.1400487722554,54.4324011970196,41.8141076276729,58.409,58.7203744210699,70.5236270735229,61.63,46.5582784519007,50.852,43.2321783317863,43.2321783317863,57.6758480579352,49.128,39.479,54.2822465689026,65.8650931423395,57.8298151938686,49.0289162510941,46.5582784519007,43.2321783317863,65.078,56.7947841392675,63.653
8,1968,66.757,46.2230965735857,36.418,40.0856789209301,39.484,62.946,49.4451195213097,64.89,63.334,68.671,70.9190243902439,70.0575609756098,58.367,43.378,70.6931707317073,41.522,38.531,49.09,71.2251219512195,62.31,65.328,65.883,70.8127804878049,62.192,68.535,45.796,56.31,68.114,63.005,38.266,54.188,43.797,72.3534146341463,69.5551095617349,71.206,61.63,55.057,43.021,45.978,42.705,52.715,60.871,43.462,53.176,64.428,64.4958258453854,67.511,67.6584390243903,,68.273,69.8407317073171,70.3784634146342,46.438,64.416,73.1214634146341,54.894,42.642,54.8184252041573,50.3995189611392,56.785023319868,65.3692635205997,68.640342154879,56.487,49.897,70.7676985090646,40.38,69.7512195121951,42.844,70.5959323905506,48.4391516089033,69.6163414634146,61.772,71.309756097561,,51.439,63.775,47.57,70.513,38.559,38.869,37.361,43.731,71.4301951219512,65.498,,48.298,64.152,60.256,70.3558292682927,53.355,43.3082064431998,68.3864146341464,46.512,69.230243902439,54.9390723022559,53.4546833263363,46.5428528632876,48.0472436794571,51.63,45.8814012930237,65.625,47.471,70.941,48.136,58.781,74.0058536585366,71.0565853658537,70.78,66.265,59.752,71.6109756097561,59.9983658536585,52.781,,45.793,53.22,61.559,64.735,58.0100351687635,58.649825998075,44.3237638397546,53.1040459757087,57.6899241767259,50.1352772268416,53.7289744553553,49.4537525999979,70.1758488669922,69.0277385922928,54.7296947618903,42.3408134045297,59.175,59.1682996948273,70.3557876980801,61.909,48.0773983551871,50.775,43.6707347759876,43.6707347759876,57.895045716226,49.748,39.903,54.759095629249,65.9896338523295,58.213366943571,49.4537525999979,48.0773983551871,43.6707347759876,65.018,57.2254211441914,63.935
9,1969,67.168,46.4323030920125,36.91,40.350420384534,39.829,63.923,49.8222358235972,64.859,63.656,69.535,70.9687804878049,69.8331707317073,58.599,42.874,70.7648780487805,41.849,38.857,49.172,70.43,63.475,65.646,66.2,70.9780243902439,62.77,68.211,46.215,56.748,68.44,63.553,39.127,54.684,44.442,72.5014634146341,69.0547392575317,71.508,61.905,55.738,43.643,46.821,42.976,53.195,61.216,44.158,53.736,65.016,64.6344541592852,67.936,67.9443170731707,,68.49,69.3670731707317,70.2288048780488,46.982,63.698,73.2209756097561,55.513,42.781,55.5256071848,50.8221165378613,57.4235784864814,65.0779073491054,68.4346373580773,56.654,49.797,70.685254084179,40.722,69.2659024390244,42.83,70.4218024321978,48.5411633851455,69.5034146341464,61.538,71.4585365853659,,51.957,64.205,47.565,70.006,38.723,39.349,37.746,30.076,72.0043414634146,65.857,,48.548,64.545,60.38,70.5685609756098,53.896,43.5652834665755,68.6602926829268,46.915,69.3146341463415,55.3475223842244,53.8490327589693,46.8937379505448,48.6127002111828,52.354,46.1379280895852,65.193,47.857,70.8528292682927,49.438,59.32,73.7763414634147,70.9704878048781,70.8119512195122,66.381,60.444,71.8580487804878,60.1911707317073,53.169,,46.241,53.88,62.0510243902439,65.677,58.3766448558204,59.0012885241073,44.5658902759633,53.5269717729686,58.1397304335285,50.7467927020495,54.161618444379,50.0577122093921,70.6941650129021,69.1805790031638,54.5742114758039,42.6393372796769,59.926,59.410395997814,70.4822484260932,62.173,48.4770832745087,50.9,43.9113071674781,43.9113071674781,57.8445057733935,50.318,40.265,55.4656724876745,65.6508380939464,58.5671266446391,50.0577122093921,48.4770832745087,43.9113071674781,65.469,57.5355515965785,64.273
