,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,Argentina,Armenia,American Samoa,Antigua and Barbuda,Azerbaijan,Burundi,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Central Europe and the Baltics,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Eritrea,Estonia,Ethiopia,Fragile and conflict affected situations,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,"Iran, Islamic Rep.",Iraq,Israel,Italy,Jamaica,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),World
0,1970,,,,,,,,,,,,,,,,,,,,,,,,99.2680816650391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7944717407227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6233100891113,,,,,,,,,,,,,,,,39.2567596435547,,,
2,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.100528717041,,,,,,,,,,,,,,,,39.7379188537598,,,
3,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.7884902954102,78.7179489135742,,,,43.9997215270996,,40.5882797241211,,,,,,,,,,,,,,,78.0356826782227,40.2297210693359,,,
4,1975,,,,,,,,,,,,,,,8.83022975921631,,,,,,,,,,,,,18.2361698150635,,,,,,,,,,,,,,,,,,,48.9314498901367,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7246704101562,58.6190414428711,,,,,,,,,,,,,,,,,59.5643882751465,77.8084487915039,78.7367935180664,,57.9931106567383,,44.4871711730957,58.9247817993164,41.125358581543,,,,,,36.0393409729004,,,,,,,,,78.0552825927734,40.7712516784668,36.0393409729004,,
5,1976,,,,,,,,,,,,,,,,,,,,,,63.2081489562988,,,,,,,,,,,41.2162094116211,,,,,,,,,,,,,63.6944694519043,49.1546897888184,65.6910018920898,,,,38.1967582702637,,,,,,,,,,,,,,,,,,,,,,61.9014091491699,58.7787284851074,,,,,,36.5183982849121,,,,,,,,,,,,78.1908264160156,79.087272644043,,58.154541015625,69.0415496826172,45.0156517028809,59.0856018066406,41.7029800415039,,,,,,36.0442504882812,,,,,55.3250389099121,,63.1921195983887,,78.4175109863281,41.3536605834961,36.0442504882812,,65.5865478515625
6,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8595085144043,49.7598495483398,65.8766632080078,,,,,,,,,,,,,,,,,,,,,,,,,,62.2448616027832,59.1068000793457,,,,,,,,,,,,,,,,,,78.6035537719727,79.4894790649414,,58.4850997924805,69.1443099975586,45.558521270752,59.421558380127,42.2836685180664,,,,,,36.6957015991211,,,,,,,63.3594512939453,,78.8338165283203,41.939151763916,36.6957015991211,,65.8783264160156
7,1978,,,,,,,46.4753112792969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0514678955078,50.371208190918,66.9680633544922,,,,,,,,,,,,,,,,,,,,,,,,,,63.0938186645508,59.8534202575684,,,,,,,,,,,,,,,,,,79.0456466674805,79.9269866943359,,59.2414703369141,70.1288375854492,46.2168388366699,60.2114715576172,42.9994010925293,,,,,,37.343921661377,,,,,,,64.5679016113281,,79.2869033813477,42.6608200073242,37.343921661377,,66.5010375976562
8,1979,,,18.1576805114746,,,,46.9482612609863,,,,,,22.5085506439209,16.4827308654785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3884429931641,50.961181640625,68.1839294433594,,,,,,,,,,,,,,19.9582500457764,,,,,,,,,,,,63.9889106750488,60.6406784057617,,,,,,,,,,,66.7968063354492,,,,,,,79.4430923461914,80.3227233886719,,60.0391883850098,71.2281188964844,46.8881683349609,61.0436782836914,43.714298248291,,,,,,37.9800491333008,,,,,,,65.9233703613281,,79.6965026855469,43.3816413879395,37.9800491333008,,67.1550064086914
9,1980,,,,,,,47.5308685302734,93.9128570556641,,97.3441619873047,,,,,,,,,,,,,74.5867309570312,99.5,,,,,,,,,,,,,47.9192314147949,,,,,,,,,67.0375289916992,51.0383415222168,68.7624588012695,,,,,,,,,,,,,,,,,98.4000015258789,,96.4206466674805,,,,,,98.8582916259766,64.5564880371094,61.158260345459,44.7416915893555,46.7194290161133,67.3126678466797,,,,,,,,,,,,,,67.5176620483398,79.7575988769531,80.6362915039062,,60.5627212524414,72.2181091308594,47.6552886962891,61.5834808349609,44.5587501525879,,,,,,38.5959014892578,,,,,,,66.5814437866211,,80.024040222168,44.2330894470215,38.5959014892578,,67.583381652832
10,1981,,,,,,,48.111011505127,,,,,,,,,29.2272300720215,,69.7535095214844,,,,,,,77.7354965209961,,,,,,,,,,,,,,,,97.8466491699219,,,73.064567565918,,68.7582092285156,51.8327293395996,70.3761291503906,,,,,,,,,,,,,,,,90.512321472168,,,,,,,,,,65.5097579956055,61.978931427002,44.9217414855957,46.7186813354492,,44.0439414978027,40.7635917663574,,,,96.4605407714844,,,,,,,,,80.1885833740234,81.0647583007812,40.6948585510254,61.3946914672852,73.1783828735352,48.4222602844238,62.4480285644531,45.4087715148926,,,,,,38.6315689086914,,,,,,,68.325927734375,,80.4641571044922,45.0901412963867,38.6315689086914,,68.2919082641602
11,1982,,,,,,,48.676830291748,,,,,,,,,,,,,,,,,,,,,,97.9756164550781,91.1284027099609,65.5050888061523,,,,,,,,,,,,,,,69.4256820678711,52.7697486877441,70.9697113037109,,,83.5526885986328,,,,,,,,,,,,,,,,,,,,,34.734691619873,,66.2449722290039,62.6555404663086,45.3152885437012,47.3641891479492,,44.3144111633301,,,,,,,,,,,,,,80.5832290649414,81.446418762207,40.9789199829102,62.0813903808594,73.711181640625,49.2459602355957,63.1602897644043,46.2227592468262,,,,,,39.8255500793457,,,,,,,69.0026321411133,,80.8554534912109,45.9108810424805,39.8255500793457,,68.8494873046875
12,1983,,,,,,,48.8991813659668,,,,,,,,,,,,,,,,,,,,,,97.9990005493164,,,,,,,,,,,,,,,,,70.8339767456055,53.3884696960449,72.248649597168,93.6717376708984,,,,,,,,,,,,,,,,,,,,,,,,,67.1964797973633,63.4993515014648,45.6387901306152,47.6773986816406,,44.6429481506348,,,,91.7514114379883,,,,,,,,,,80.9857177734375,81.8425598144531,41.3109016418457,62.9377098083496,74.884147644043,50.0341796875,64.0503311157227,47.0912284851074,,,,,,40.4792213439941,,,,,,,70.4304122924805,94.3016815185547,81.2618865966797,46.786548614502,40.4792213439941,,69.5503997802734
13,1984,,,,,,,49.6164398193359,,,,,,,,,,,,,,,,,,,,,,98.035026550293,,,,,,59.6191215515137,,,,92.6290435791016,,,,,,,71.9103622436523,54.1722984313965,73.2317276000977,94.5251388549805,,,,,,,,,,,,,,,,,,,,,,,,,68.0770111083984,64.2902679443359,45.9968185424805,47.9865188598633,,45.0248718261719,,,,,,,,,,,,,,81.3649826049805,82.2144012451172,41.6882400512695,63.740478515625,75.7721710205078,50.9099388122559,64.8835830688477,48.0327987670898,,,71.1927795410156,,,41.1337013244629,,,,,,,71.5216903686523,95.0243835449219,81.6431732177734,47.7359199523926,41.1337013244629,,70.2085189819336
