,Year,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
0,1960,,357.3,,,,,,,,86.3,24.8,42.9,,,33.8,309.2,346.0,262.0,55.4,197.7,,,,,290.7,169.6,84.5,122.5,,166.4,278.2,32.6,,157.1,,318.3,278.6,,193.8,134.9,,181.8,96.0,,54.0,,,,,138.4,25.0,147.2,240.8,,,,,,174.7,317.8,,,,,,,26.8,78.7,28.5,223.2,,208.3,349.5,361.8,,,46.0,101.5,221.9,92.0,208.6,,,290.4,54.1,,,,,223.9,,242.8,35.3,,190.6,21.5,42.0,52.0,82.2,155.2,39.7,,197.2,,,199.2,111.9,141.9,,,,,,,,,,,,,,,,,184.8,,,,208.9,,,,,,,,83.6,,
1,1961,,351.7,,,,,,,,80.4,24.3,40.2,,,32.4,304.4,342.2,256.0,49.0,181.1,,,,,284.4,165.2,78.4,110.1,,161.0,273.2,31.5,,148.5,,310.4,272.5,,186.2,130.5,,179.7,93.3,,52.1,,,,,125.9,24.4,146.1,240.8,,,,,,169.5,307.8,,,,,,,25.2,75.1,27.0,216.6,,206.1,347.3,354.6,,,45.2,93.4,216.4,88.2,201.5,,,285.8,51.2,,,,,217.7,,239.3,33.8,,179.9,21.1,39.6,49.9,78.8,146.3,36.2,,189.1,,,194.3,106.5,132.4,,,,,,,,,,,,,,,,,180.9,,,,205.5,,,,,,,,79.0,,
2,1962,,345.8,,,,,,,,74.0,23.7,37.9,,,31.1,299.4,338.3,250.2,44.2,165.8,,,,,278.1,160.8,73.2,98.3,,156.3,268.0,30.5,,141.9,,302.5,267.6,,179.3,126.2,,177.4,92.5,,50.2,,,,,114.5,23.8,144.5,241.4,,,,,,164.7,297.7,,,,,,,23.8,71.8,25.7,210.0,,204.5,344.8,347.2,,,44.0,85.6,211.1,85.0,194.9,,,281.3,49.1,,,,,211.8,,236.1,32.5,,169.8,20.7,37.3,47.6,75.5,138.0,32.9,,182.1,,,188.7,101.8,123.2,,,,,,,,,,,,,,,,,177.1,,,,202.1,,,,,,,,74.3,,
3,1963,,340.2,,,,,,,,67.4,23.2,35.9,,,30.0,294.3,334.8,245.1,40.7,151.4,,,,,272.0,156.7,68.7,88.0,,151.9,262.9,29.4,,135.6,,294.8,263.1,,172.8,122.3,,175.0,92.5,,48.3,,,,,104.2,23.0,142.6,242.3,,,,,,160.3,287.6,,,,,,,22.5,68.7,24.5,203.7,,203.4,342.2,340.4,,,42.4,78.5,205.9,82.2,188.4,,,276.9,47.6,,,,,206.0,,233.2,31.3,,160.6,20.3,35.4,45.3,72.6,130.1,29.8,,176.2,,,182.8,96.9,114.6,,,,,,,,,,,,,,,,,173.5,,,,198.3,,,,,,,,69.6,,
4,1964,,334.8,,,,,,,,60.8,22.7,34.2,,241.2,28.9,289.1,331.5,240.5,38.5,138.0,,,,,266.0,152.8,64.6,79.5,,147.9,257.5,28.2,,126.9,,287.4,258.3,,166.6,118.5,,172.3,92.0,,46.4,,,,,94.9,22.1,140.3,243.4,,,,,,156.1,278.6,,,,,,,21.3,65.8,23.4,197.4,,202.6,339.5,333.8,,,40.9,72.5,200.9,79.9,182.0,,,272.3,46.2,,,,,200.3,,230.4,30.0,,152.1,19.8,33.6,43.1,69.8,122.9,27.0,,171.1,,,176.4,92.0,106.5,,,,,,,,,,,,,,,,,170.0,,,,194.5,,,,,,,,65.0,,
5,1965,,329.4,,,,,,,,54.5,22.4,32.7,,243.3,27.9,283.9,328.7,236.6,37.4,125.4,,,,,259.9,149.2,61.1,72.9,,144.3,251.7,27.1,,115.4,,280.0,252.7,,160.9,114.9,,169.1,90.2,,44.6,,,,,86.4,21.1,137.8,244.3,,,,,,152.4,270.5,,,,,,,20.2,63.2,22.3,191.4,,202.2,337.0,327.2,,,39.6,67.8,195.9,78.2,175.7,,,268.0,44.6,,,,,229.0,,227.8,28.6,,144.3,19.2,32.2,41.1,67.2,116.3,24.6,,166.9,,,170.0,86.9,98.9,,,,,,,,,,,,,,,,,166.6,,,,190.5,,,,,,,,60.6,,
6,1966,,323.9,,,,,,,,48.6,22.1,31.5,,245.1,27.0,278.9,325.8,233.5,37.1,114.0,,,,,253.8,145.8,58.0,68.0,,140.8,246.3,26.0,,103.8,,272.9,246.1,,155.4,111.4,,165.3,87.7,,42.9,,,,,78.7,20.0,135.0,245.0,,,,,,148.8,263.5,,,,247.9,,,19.2,61.1,21.4,185.5,,202.2,333.9,320.8,,,38.5,64.3,191.0,76.8,169.6,,,263.3,43.2,,,,,188.7,,225.3,27.1,,137.2,18.5,31.2,39.3,64.8,110.2,22.7,,163.3,,,163.6,81.7,91.9,,,,,,,,,,,,,,,,,163.1,,,,186.6,,,,,,,,56.6,,
7,1967,,318.4,,,,,,,,43.3,22.0,30.5,,246.7,26.2,273.9,323.2,231.2,36.7,103.3,,,,110.5,247.6,142.6,55.3,64.0,,136.9,240.4,25.0,,94.0,,265.8,238.2,,150.1,108.0,,161.1,84.9,,41.2,,,,,71.7,19.0,132.2,245.3,,,,,,145.8,258.0,,,,247.2,,,18.4,59.4,20.6,179.8,,202.6,331.1,314.3,,,37.4,61.6,185.9,75.6,163.6,,,258.5,42.0,,,,,183.0,,222.7,25.5,,130.4,17.9,30.3,37.8,62.5,104.4,21.0,,160.1,,,157.3,76.4,85.7,,,,,,,,,,,,,,,,,159.9,,,,182.6,,,,,,,,53.0,,
8,1968,,312.8,,,,,,,,38.8,21.9,29.7,,248.4,25.5,269.2,320.7,229.6,35.6,93.5,29.4,,,106.1,241.6,139.4,52.8,60.7,290.5,132.8,235.0,24.0,,86.7,,258.6,229.6,,145.2,104.6,,156.5,81.9,,39.5,,,27.1,,65.4,18.1,129.4,244.6,,,,,,142.8,253.5,,,,246.7,,,17.6,58.1,19.9,174.4,,202.9,327.9,307.7,,,36.0,59.4,180.9,74.9,157.6,,,253.6,40.9,,,,,177.2,,220.2,24.1,,124.3,17.2,29.6,36.4,60.2,99.1,19.6,,157.0,,,151.5,71.1,80.0,,,,,,,,,,,,,,,,,156.7,,,,178.4,,,,,,,,49.8,,
9,1969,,307.2,,,,,,72.4,,34.9,21.7,29.3,,249.8,24.8,264.6,318.3,228.6,33.9,84.4,29.9,,,101.6,235.4,136.0,50.3,57.5,281.2,128.4,229.7,23.0,,82.1,118.8,251.6,220.7,250.7,140.7,101.1,,151.1,78.5,,37.8,,,26.4,,59.7,17.4,126.5,242.6,,,,,,139.9,249.7,,,,246.7,,,16.8,57.2,19.1,169.0,,203.0,325.0,301.3,,,33.8,57.7,175.8,74.2,151.8,,,248.6,39.8,,,,,171.6,,217.5,23.0,,118.6,16.6,29.1,35.1,58.0,94.2,18.5,,153.8,,,145.9,66.0,74.9,,,,,,,,,,,,,,,,,153.4,,,,174.1,,,,,,,,47.0,,
