,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,French Polynesia,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
0,1960,54608,130692579,8622466,97256290,5357195,1608800,9443,93359407,20349744,1904148,20085,55342,10276477,7047539,3894500,2746628,9153489,2512284,4783259,50396429,7867374,160691,114500,3262539,8198000,91403,44400,3707515,73092515,232550,85346,221266,512865,1679728,17909356,91401764,109186,8141820,667070000,3708661,5117608,15276558,1055693,15687688,194852,209849,1346302,4209141,7267395,124826,8473,585725,9602006,72814900,85940,59379,4579603,3298021,11394307,896462247,979461502,1043333636,255726092,666273660,4618158,27034499,269385168,993568,1211537,21739710,356947129,245011384,4429634,401841,46649927,34154,513340,3645600,6911510,21822,3516814,399649,577933,267351,8331725,93772,32500,4128880,72374,571990,3114671,2078617,163453961,4140181,3901139,9983967,1904346683,2297972283,393625600,120380760,88382881,273244840,48793,445954579,2828600,21388806,7084678,175574,2114020,50199700,1642331,847936,93216000,9319283,7751435,,5541676,47093,25012374,305415,194711112,219142626,243747624,2243178704,1095548725,104958259,2107416130,97179656,198624756,807630906,9080716,188484894,11655666,905537,755575073,84851,571192428,2779327,227907169,227948869,14195394,345065,3028688,884811163,307910628,208929539,97179656,571192428,227948869,7850,3031474234,947000
1,1961,55811,134169237,8790140,99314028,5441333,1659800,10216,95760348,20680653,1971530,20626,56245,10483000,7086299,4045750,2815972,9183948,2551216,4852833,51882769,7943118,166970,120216,3325333,8271216,93757,45500,3784744,75330008,233698,89561,227071,524403,1710364,18271000,92232738,110225,8313535,660330000,3848336,5200355,15673284,1083431,16182414,198617,214788,1396138,4289429,7418518,126125,8626,594771,9586651,73377632,89270,60395,4611687,3408415,11598608,895992255,1004319366,1045203037,259951519,673957844,4751507,27747867,271727867,1016932,1225077,22281675,359937892,250272662,4461005,414534,47161641,34572,519329,3703600,7109029,21907,3578631,410801,583107,272264,8398050,95096,33700,4251911,73873,588597,3168100,2139928,167427839,4167292,3974934,10029321,1926042536,2329503799,403461263,123340386,90816938,280120877,48422,456351876,2824400,21983622,7260714,179029,2185000,50536350,1663754,891848,94055000,9639302,8047470,,5664654,48275,25765673,339697,200250715,225304612,249669012,2274049905,1097728985,107670788,2135115636,99620285,202007500,818832113,9244843,192890980,11916515,932520,764678914,86921,584794755,2858896,233440376,233483265,14466792,352971,3087657,884080493,312638061,214886940,99620285,584794755,233483265,7885,3072421801,966000
2,1962,56682,137835590,8969047,101445032,5521400,1711319,11014,98268683,21020359,2039346,21272,57008,10742000,7129864,4168150,2887398,9220578,2593302,4924497,53461661,8012946,173359,126305,3387512,8351928,96188,46600,3864140,77599218,234829,93837,233417,536428,1742502,18614000,93009498,111281,8486120,665770000,3998287,5303841,16086084,1112348,16691282,202527,221484,1447037,4366420,7574265,128414,8799,601095,9624660,74025784,93122,61224,4647727,3521164,11778260,907858935,1029962253,1059600211,264183560,681809362,4890425,28485022,274105087,1041552,1241623,22852158,362998792,255747541,4491443,427695,47679792,34963,525754,3760300,7281192,22249,3642324,422310,590399,277490,8448233,96052,35000,4378604,75412,604833,3305200,2202854,171555341,4196712,4049504,10061734,1960606353,2374276327,413669974,126404800,93345489,287265174,48669,467024193,2836050,22605050,7481832,182378,2293000,50879450,1683761,934615,94933000,9959414,8363578,,5788854,49508,26513030,378190,205949399,231638540,255852360,2318172647,1112142897,110538003,2175939784,102159899,205198600,830289099,9436172,197549304,12180505,960258,773971699,89208,598784274,2937821,239236580,239280622,14762850,361070,3148242,895683380,317365322,221002830,102159899,598784274,239280622,7902,3126849612,994000
3,1963,57475,141630546,9157465,103667517,5599827,1762621,11839,100892507,21364017,2106142,21949,57778,10950000,7175811,4293550,2948133,9289770,2638082,4998671,55094115,8078145,179891,132639,3448532,8437232,98862,47700,3945729,79915555,235875,98277,240268,549041,1776214,18964000,93840016,112410,8656006,682335000,4156453,5427511,16517995,1142600,17210956,206546,228814,1498647,4443544,7736352,130860,8985,607072,9670685,74714353,97670,62031,4684483,3635798,11969451,931114057,1056327420,1085398906,268409373,689682704,5034334,29245936,276517540,1067295,1258857,23448979,366152978,261378272,4523309,441385,48189939,35385,532592,3816100,7458243,22796,3707945,434173,595802,283018,8479625,96882,36400,4508444,76996,620703,3420900,2267708,175832578,4225675,4122260,10087947,2007060959,2431314278,424253319,129620425,95962527,294632894,49131,477933619,2852650,23259094,7735824,185653,2379000,51252000,1703868,978607,95900000,10277790,8697200,,5913680,50780,27261747,420494,211793513,238127927,262222227,2374537275,1137971547,113518054,2228877289,104817905,208253700,841722274,9631390,202413011,12475236,988767,783063134,91963,613149540,3014885,245252887,245298063,15063701,369527,3210296,918644019,322144898,227259853,104817905,613149540,245298063,7919,3193428894,1022000
4,1964,58178,145605995,9355514,105959979,5673199,1814135,12690,103618568,21708487,2171029,22656,58664,11167000,7223801,4439250,3033221,9378113,2685619,5076111,56774465,8144340,186587,138785,3507959,8524224,101772,48900,4029472,82262794,236834,102904,247444,562274,1811694,19325000,94715795,113596,8825046,698355000,4321368,5556209,16965855,1174269,17739754,210665,236362,1550661,4520592,7902286,133148,9172,612338,9727804,75318337,102945,62843,4722072,3752313,12179099,953987755,1083430197,1110819272,272634858,697559598,5183283,30026648,278953378,1094042,1277086,24073696,369387359,267180143,4548543,455214,48733997,35841,539830,3870300,7640196,23347,3775510,446375,590481,288852,8510429,97613,37600,4640795,78621,635957,3504600,2334492,180294830,4252876,4196349,10119835,2053555416,2488809469,435254053,132967846,98675061,302286207,49597,489059309,2866550,23948624,7997655,188983,2475000,51675350,1725181,1029447,96903000,10590934,9047387,,6040847,52092,27984155,465748,217767514,244742056,268840613,2431354529,1163376707,116624655,2282093614,107577280,211262900,853200694,9819458,207480357,12787523,1017629,792060920,95192,627867470,3095170,251519652,251565974,15357679,378531,3273419,941205716,326946310,233646719,107577280,627867470,251565974,7949,3260441925,1050000
5,1965,58782,149742351,9565147,108336203,5736582,1864791,13563,106444103,22053661,2234051,23391,59644,11388000,7270889,4574650,3118134,9463667,2735843,5157929,58500159,8204168,193012,144849,3565517,8610000,104838,50100,4115511,84623747,237694,107686,255010,570975,1849171,19678000,95440988,114832,8994936,715185000,4492890,5690086,17438254,1207412,18275814,214939,244156,1602736,4596245,8067651,135266,9366,617345,9779358,75963695,108772,63744,4759012,3868712,12381256,977493628,1110603410,1136927045,276765568,705233118,5337351,30818469,281432987,1121739,1294566,24727506,372533839,273124351,4563732,469010,49282756,36346,547535,3921600,7827726,23910,3845074,458908,577638,295010,8550333,98226,39200,4774984,80255,650207,3597900,2403465,184949176,4280923,4274348,10147935,2100537138,2547220471,446683333,136452685,101157868,310230648,50057,500114346,2877300,24667026,8270544,192286,2563000,52112350,1746977,1093474,97952000,10897644,9417207,,6170727,53444,28704674,513840,223847681,251458185,275712411,2489218929,1189485776,119831991,2336192886,110431969,214031100,864404090,9995778,212742196,13105946,1046929,800834639,98674,642649029,3179506,258031054,258078554,15638952,388317,3336338,964393486,331523017,240144416,110431969,642649029,258078554,8018,3328209022,1078000
6,1966,59291,153955516,9783147,110798486,5787044,1914573,14546,109394536,22403116,2295496,24122,60615,11651000,7322066,4708150,3193378,9527807,2788642,5242797,60265259,8258057,199019,151323,3620849,8696496,108062,51000,4204065,86979283,238494,112597,262976,574855,1888853,20048000,96146336,116116,9161649,735400000,4671196,5829580,17941738,1242116,18811407,219369,252238,1654619,4670465,8230450,136682,9566,622566,9821040,76600311,114874,64728,4797381,3987090,12613389,1004333893,1137875812,1166227679,280229181,712077088,5495761,31613132,283803777,1150264,1308597,25377645,375563155,279159120,4580869,482358,49817041,36825,555748,3966700,8019658,24477,3916780,471753,570375,301517,8613651,98692,40500,4910790,81879,663241,3629900,2474523,189744990,4310701,4352949,10178653,2150132295,2608583276,458450981,140064295,103561105,318386686,50718,510992617,2888800,25398700,8553883,195570,2629000,52519000,1768803,1172770,98851000,11197568,9802605,,6299230,54428,29435571,565463,229988384,258225265,282750085,2550048939,1218319662,123155200,2393145155,113410132,216659000,875187633,10170872,218153165,13444048,1075580,809130400,102281,657382046,3266436,264705303,264754002,15916917,398861,3398664,990895866,335436332,246704898,113410132,657382046,264754002,8139,3398480280,1106000
7,1967,59522,158313235,10010030,113319950,5827503,1965598,15745,112499764,22757014,2355997,24848,61617,11799000,7376998,4832000,3274493,9580991,2843739,5330613,62104488,8310226,204916,158197,3673367,8785648,111411,52000,4295269,89323288,239238,117628,271339,578723,1930861,20412000,97043270,117430,9326268,754550000,4856689,5975087,18472105,1278312,19343961,224321,260648,1706062,4743053,8390962,138140,9771,627695,9852899,76951336,121168,65760,4835354,4108916,12897115,1030453856,1166092667,1194567141,283724914,718884137,5658446,32408414,285908171,1179554,1318946,26051596,378512582,285348867,4605744,494632,50334012,37234,564436,4005800,8216086,25047,3990760,485132,573380,308374,8684088,98977,41900,5047435,83480,675064,3722800,2547497,194742549,4338683,4432716,10216604,2199465757,2670092279,470626522,143768745,106260749,326857777,51731,521987069,2902450,26133341,8848502,198751,2745000,52900500,1790580,1265680,99879000,11491228,10201068,,6426445,54990,30130983,621242,236176636,265030167,290061165,2610858879,1246291107,126678043,2449880184,116518346,219176000,885770688,10357064,223721654,13821409,1102445,817080267,105995,672401853,3354611,271583274,271633185,16202562,409638,3461664,1016638561,339584994,253315340,116518346,672401853,271633185,8337,3468370526,1135000
8,1968,59471,162875171,10247780,115921723,5868203,2022272,17079,115729597,23112971,2416461,25608,62658,12009000,7415403,4948500,3352397,9618756,2901218,5422119,63995652,8369603,210801,165456,3723067,8874552,114825,53000,4389249,91659246,239905,122764,280102,582655,1975257,20744000,97884022,118707,9491502,774510000,5050106,6127193,19022799,1316130,19872503,229971,269408,1756333,4813958,8550286,140298,9981,632452,9876346,77294314,127668,66865,4864883,4230877,13190975,1057594845,1195278339,1224255729,287193204,725451120,5825663,33204629,287907506,1209602,1331214,26778653,381280912,291730814,4626469,505979,50817020,37630,573611,4042300,8418152,25610,4067333,499151,583475,315325,8740765,99056,43400,5184095,85046,685887,3802700,2622982,199980949,4365628,4514006,10255815,2250275429,2733532608,483257179,147587480,109138723,335669699,52910,533431909,2915550,26875302,9156132,201488,2803000,53235750,1812209,1366644,101011000,11777849,10613877,,6553109,55511,30838302,681117,242412816,271885703,297680657,2673666819,1275030950,130258116,2508410677,119706733,221503000,896137038,10557555,229504001,14216305,1128479,824785271,109832,688013461,3443251,278745760,278796894,16499992,420373,3526770,1043384828,343653318,259977374,119706733,688013461,278796894,8649,3540164023,1163000
9,1969,59330,167596160,10494489,118615741,5928386,2081695,18449,119061868,23472028,2476359,26396,63742,12263000,7441055,5063300,3424429,9646032,2961166,5515747,65866908,8434172,216696,172745,3770376,8960304,118145,54000,4486098,94000381,240594,128012,289296,586737,2021519,21028000,98606630,119884,9656299,796025000,5255149,6286232,19583123,1355699,20392264,236002,278524,1805968,4883868,8709654,142581,10181,636821,9896580,77909682,135390,68007,4891860,4352954,13491016,1086458654,1225287413,1255933616,290573749,731787358,5997037,33995955,289911679,1240562,1345249,27530388,383958527,298251790,4623785,516952,51272683,38011,584628,4080300,8629855,26162,4145194,513686,587880,318846,8772764,98975,44900,5320100,86534,695919,3863900,2701381,205388448,4391490,4596642,10298723,2303176093,2799372212,496196119,151541193,112149246,344654926,54099,545314670,2932650,27643685,9476737,203369,2877000,53537950,1834615,1466428,102219000,12042478,11039551,,6679708,56324,31544266,743044,248701446,278797542,305463862,2738979549,1305235738,133970600,2569346894,122973346,223759000,906483797,10758492,235497996,14605481,1154784,832436871,113803,704112818,3530958,286159536,286211901,16797144,431366,3595152,1071859681,347522680,266691786,122973346,704112818,286211901,9117,3614572835,1191000
